date,wage_growth_yoy,private_wage_growth_yoy,public_wage_growth_yoy,wage_growth_qoq,private_wage_qoq,public_wage_qoq,unit_labour_costs,avg_earnings_growth,productivity_growth,productivity_index
2017-09-30,2.0,1.9,2.4,0.5,0.5,0.5,0.4,0.1,-0.2,99.1
2017-12-31,2.1,1.9,2.4,0.6,0.5,0.7,2.7,1.6,-0.9,99.0
2018-03-31,2.0,1.9,2.4,0.5,0.5,0.5,2.2,2.9,0.8,99.8
2018-06-30,2.1,2.1,2.3,0.6,0.6,0.5,1.4,1.9,0.6,99.6
2018-09-30,2.3,2.1,2.6,0.6,0.5,0.8,1.8,2.2,0.3,99.4
2018-12-31,2.3,2.3,2.5,0.5,0.6,0.7,1.8,2.6,0.7,99.7
2019-03-31,2.3,2.4,2.4,0.5,0.5,0.4,2.0,1.4,-0.7,99.1
2019-06-30,2.3,2.3,2.7,0.6,0.5,0.8,3.7,4.0,0.3,99.9
2019-09-30,2.2,2.2,2.4,0.5,0.5,0.5,3.1,3.6,0.5,99.9
2019-12-31,2.2,2.2,2.2,0.5,0.5,0.4,3.0,3.8,0.8,100.5
2020-03-31,2.2,2.1,2.3,0.5,0.5,0.5,3.0,5.6,2.5,101.6
2020-06-30,1.8,1.8,2.1,0.2,0.2,0.6,-7.9,9.1,3.2,103.1
2020-09-30,1.4,1.2,1.8,0.1,0.0,0.3,-9.1,6.5,2.2,102.1
2020-12-31,1.3,1.3,1.6,0.5,0.6,0.2,-1.6,4.8,1.6,102.1
2021-03-31,1.5,1.5,1.5,0.7,0.7,0.4,0.2,4.3,1.8,103.4
2021-06-30,1.8,1.9,1.3,0.5,0.5,0.4,14.1,-0.9,-0.8,102.3
2021-09-30,2.2,2.3,1.7,0.5,0.4,0.6,16.8,3.9,1.1,103.2
2021-12-31,2.4,2.4,2.1,0.7,0.7,0.6,7.2,4.9,2.1,104.2
2022-03-31,2.4,2.4,2.2,0.7,0.7,0.5,5.6,5.5,1.9,105.4
2022-06-30,2.6,2.7,2.4,0.8,0.9,0.6,4.3,4.8,0.6,102.9
2022-09-30,3.1,3.4,2.4,1.0,1.1,0.6,4.8,2.7,-1.5,101.7
2022-12-31,3.3,3.6,2.5,0.8,0.9,0.8,6.1,1.8,-3.9,100.1
2023-03-31,3.7,3.8,3.0,1.0,0.9,0.9,7.4,1.1,-5.6,99.5
2023-06-30,3.7,3.9,3.1,0.8,0.9,0.8,6.9,1.6,-4.6,98.2
2023-09-30,4.0,4.3,3.5,1.3,1.4,1.1,6.8,4.3,-2.1,99.6
2023-12-31,4.3,4.2,4.3,1.1,0.9,1.5,6.7,6.5,0.1,100.2
2024-03-31,4.0,4.2,3.8,0.7,0.9,0.4,5.7,6.4,0.9,100.4
2024-06-30,4.1,4.1,4.0,0.9,0.8,1.0,5.6,7.0,1.5,99.7
2024-09-30,3.6,3.5,3.6,0.9,0.9,0.7,4.3,3.5,-0.6,99.0
2024-12-31,3.2,3.3,2.8,0.7,0.7,0.7,5.1,3.7,-1.2,99.0
2025-03-31,3.4,3.3,3.6,0.9,0.9,1.2,5.3,4.0,-1.2,99.2
2025-06-30,3.4,3.4,3.6,0.9,0.8,1.0,4.6,4.7,0.0,99.7
2025-09-30,3.3,3.3,3.9,0.8,0.8,0.9,5.3,6.0,0.7,99.7
2025-12-31,3.4,3.4,4.0,0.8,0.8,0.8,3.1,4.1,0.8,99.8
2026-03-31,,,,,,,,,,
2026-06-30,,,,,,,,,,
2026-09-30,,,,,,,,,,
