date,labour_force,participation_rate,part_time_employment,full_time_employment,employment,employment_growth_yoy,employment_trend_growth,employment_to_population,unemployment,unemployment_rate,unemployment_rate_trend,hours_worked,hours_worked_trend,hours_worked_trend_growth,average_hours_worked,job_vacancies,private_job_vacancies,vacancies_to_lf_ratio
2001-09-30,9689.6,63.3,2519.8,6506.9,9026.7,0.5,0.8,58.9,663.0,6.8,7.0,1306668.1,1304832.4,-0.3,33.2,,,
2001-10-31,9747.2,63.6,2519.2,6526.8,9046.0,1.0,1.0,59.0,701.2,7.2,7.0,1303722.2,1306029.0,0.0,33.2,,,
2001-11-30,9749.7,63.5,2548.7,6529.9,9078.7,2.0,1.3,59.1,671.1,6.9,6.9,1308457.6,1307865.6,0.2,33.2,88.5,73.5,0.9
2001-12-31,9732.8,63.3,2526.3,6538.7,9065.0,1.3,1.5,59.0,667.8,6.9,6.9,1313269.8,1310213.7,0.5,33.2,,,
2002-01-31,9761.7,63.4,2546.1,6540.7,9086.9,1.5,1.6,59.0,674.8,6.9,6.8,1297620.4,1312653.4,0.8,33.2,,,
2002-02-28,9765.2,63.3,2584.6,6542.3,9126.9,1.9,1.7,59.2,638.3,6.5,6.6,1319177.1,1314949.0,0.9,33.2,90.5,74.6,0.9
2002-03-31,9759.8,63.2,2565.9,6566.3,9132.2,1.9,1.6,59.2,627.6,6.4,6.5,1330430.9,1316638.8,1.0,33.2,,,
2002-04-30,9737.4,63.0,2574.9,6544.7,9119.5,1.2,1.6,59.0,617.9,6.3,6.4,1316622.4,1317881.4,1.0,33.2,,,
2002-05-31,9757.0,63.1,2545.1,6590.1,9135.2,1.4,1.6,59.1,621.8,6.4,6.4,1323681.7,1318802.3,1.0,33.2,96.2,80.5,1.0
2002-06-30,9797.7,63.3,2616.3,6544.9,9161.2,1.7,1.6,59.2,636.4,6.5,6.3,1316419.6,1320054.1,1.2,33.2,,,
2002-07-31,9771.1,63.1,2594.2,6573.0,9167.2,1.6,1.7,59.2,603.8,6.2,6.3,1319742.8,1322087.1,1.3,33.1,,,
2002-08-31,9849.6,63.5,2609.9,6614.3,9224.2,2.0,1.9,59.5,625.4,6.3,6.3,1330370.7,1325343.6,1.6,33.1,103.0,87.8,1.0
2002-09-30,9847.3,63.4,2634.6,6591.2,9225.7,2.2,2.0,59.4,621.6,6.3,6.3,1332602.6,1329897.3,1.9,33.2,,,
2002-10-31,9837.6,63.3,2641.3,6593.4,9234.7,2.1,2.3,59.4,602.9,6.1,6.2,1325109.2,1335241.0,2.2,33.2,,,
2002-11-30,9893.5,63.6,2658.7,6625.1,9283.8,2.3,2.5,59.6,609.7,6.2,6.2,1344123.4,1340478.0,2.5,33.2,97.6,83.3,1.0
2002-12-31,9942.3,63.8,2661.9,6665.8,9327.7,2.9,2.8,59.8,614.7,6.2,6.1,1343791.4,1344796.8,2.6,33.2,,,
2003-01-31,9988.7,64.0,2692.2,6689.1,9381.3,3.2,2.9,60.1,607.4,6.1,6.1,1350813.2,1347605.0,2.7,33.1,,,
2003-02-28,10001.6,64.0,2695.7,6710.4,9406.0,3.1,3.0,60.2,595.6,6.0,6.1,1349202.7,1349165.3,2.6,33.1,109.7,95.1,1.1
2003-03-31,9971.1,63.7,2694.3,6665.4,9359.7,2.5,2.9,59.8,611.4,6.1,6.1,1349236.8,1349704.1,2.5,33.1,,,
2003-04-30,9958.3,63.5,2701.0,6656.9,9357.9,2.6,2.8,59.7,600.5,6.0,6.1,1347925.5,1349458.7,2.4,33.1,,,
2003-05-31,9981.4,63.6,2695.9,6679.7,9375.6,2.6,2.5,59.8,605.8,6.1,6.1,1342986.5,1348722.5,2.3,33.1,104.6,90.1,1.0
2003-06-30,9955.0,63.4,2714.0,6638.2,9352.2,2.1,2.4,59.6,602.7,6.1,6.1,1348529.3,1348072.3,2.1,33.1,,,
2003-07-31,9953.3,63.3,2678.9,6664.4,9343.3,1.9,2.2,59.5,609.9,6.1,6.0,1350282.8,1347940.1,2.0,33.1,,,
2003-08-31,9981.0,63.4,2694.1,6706.2,9400.3,1.9,2.1,59.7,580.7,5.8,5.9,1345705.5,1348722.8,1.8,33.0,104.1,90.5,1.0
2003-09-30,9985.1,63.4,2690.1,6718.3,9408.4,2.0,2.0,59.7,576.7,5.8,5.8,1347480.7,1350316.8,1.5,33.0,,,
2003-10-31,10011.0,63.5,2681.7,6750.4,9432.0,2.1,1.8,59.8,579.0,5.8,5.8,1352313.2,1352551.4,1.3,33.0,,,
2003-11-30,9994.0,63.3,2664.3,6763.9,9428.2,1.6,1.6,59.7,565.8,5.7,5.7,1358340.0,1355227.8,1.1,33.0,107.5,94.0,1.1
2003-12-31,10029.9,63.5,2684.2,6775.9,9460.1,1.4,1.4,59.9,569.8,5.7,5.6,1360276.9,1357854.9,1.0,33.0,,,
2004-01-31,10015.9,63.3,2656.6,6805.3,9461.9,0.9,1.2,59.8,554.0,5.5,5.6,1357999.4,1360136.8,0.9,33.0,,,
2004-02-29,10031.5,63.3,2686.5,6779.0,9465.4,0.6,1.1,59.7,566.1,5.6,5.5,1363165.0,1361995.3,1.0,33.0,103.8,91.7,1.0
2004-03-31,10045.1,63.3,2679.9,6819.1,9498.9,1.5,1.2,59.9,546.2,5.4,5.5,1364457.7,1363497.6,1.0,33.0,,,
2004-04-30,10063.0,63.4,2694.3,6814.4,9508.8,1.6,1.3,59.9,554.2,5.5,5.5,1367125.5,1364981.1,1.2,33.0,,,
2004-05-31,10061.7,63.3,2710.1,6814.6,9524.7,1.6,1.5,59.9,537.0,5.3,5.5,1365715.5,1366724.3,1.3,33.0,127.1,113.8,1.3
2004-06-30,10080.3,63.4,2697.5,6832.1,9529.6,1.9,1.6,59.9,550.7,5.5,5.4,1372123.3,1368821.4,1.5,33.0,,,
2004-07-31,10098.6,63.4,2699.3,6838.7,9538.0,2.1,1.8,59.9,560.5,5.6,5.4,1356499.1,1371372.7,1.7,33.0,,,
2004-08-31,10092.0,63.3,2688.1,6847.0,9535.2,1.4,1.9,59.8,556.8,5.5,5.4,1372959.9,1374700.8,1.9,33.0,124.6,110.5,1.2
2004-09-30,10135.8,63.5,2730.9,6860.6,9591.4,1.9,2.1,60.1,544.4,5.4,5.3,1379611.9,1379062.0,2.1,33.0,,,
2004-10-31,10166.3,63.6,2734.9,6910.6,9645.5,2.3,2.2,60.4,520.8,5.1,5.3,1385279.7,1384358.3,2.4,33.0,,,
2004-11-30,10210.7,63.8,2755.4,6928.3,9683.7,2.7,2.4,60.5,527.0,5.2,5.2,1388457.3,1390357.3,2.6,33.1,139.2,123.9,1.4
